country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Belgium,6.9,6.6,7.5,8.2,8.4,8.5,8.3,7.5,7,7.9,8.3,7.2,7.6,8.4,8.5,8.5,7.8,7.1,6
Bulgaria,16.4,19.6,18.2,13.7,12.1,10.1,9,6.9,5.6,6.8,10.3,11.3,12.3,13,11.4,9.2,7.6,6.2,5.2
Czechia,8.8,8.1,7.3,7.8,8.3,7.9,7.1,5.3,4.4,6.7,7.3,6.7,7,7,6.1,5.1,4,2.9,2.2
Denmark,4.3,4.5,4.6,5.4,5.5,4.8,3.9,3.8,3.4,6,7.5,7.6,7.5,7,6.6,6.2,6.2,5.7,5
Germany,7.9,7.8,8.6,9.7,10.4,11.2,10.1,8.5,7.4,7.6,7,5.8,5.4,5.2,5,4.6,4.1,3.8,3.4
Estonia,14.6,13,11.2,10.3,10.1,8,5.9,4.6,5.5,13.5,16.7,12.3,10,8.6,7.4,6.2,6.8,5.8,5.4
Ireland,4.5,4.2,4.7,4.8,4.7,4.6,4.8,5,6.8,12.6,14.6,15.4,15.5,13.8,11.9,10,8.4,6.7,5.8
Greece,11.2,10.7,10.3,9.7,10.6,10,9,8.4,7.8,9.6,12.7,17.9,24.5,27.5,26.5,24.9,23.6,21.5,19.3
Spain,11.9,10.6,11.5,11.5,11,9.2,8.5,8.2,11.3,17.9,19.9,21.4,24.8,26.1,24.5,22.1,19.6,17.2,15.3
France,8.6,7.8,7.9,8.5,8.9,8.9,8.8,8,7.4,9.1,9.3,9.2,9.8,10.3,10.3,10.4,10.1,9.4,9.1
Croatia,15.6,16,15.3,14.1,13.8,13,11.6,9.9,8.6,9.3,11.8,13.7,15.8,17.4,17.2,16.1,13.4,11,8.4
Italy,10,9,8.5,8.4,8,7.7,6.8,6.1,6.7,7.7,8.4,8.4,10.7,12.1,12.7,11.9,11.7,11.2,10.6
Cyprus,4.8,3.9,3.5,4.1,4.6,5.3,4.6,3.9,3.7,5.4,6.3,7.9,11.9,15.9,16.1,15,13,11.1,8.4
Latvia,14.3,13.5,12.5,11.6,11.7,10,7,6.1,7.7,17.5,19.5,16.2,15,11.9,10.8,9.9,9.6,8.7,7.4
Lithuania,16.4,17.4,13.8,12.4,10.9,8.3,5.8,4.3,5.8,13.8,17.8,15.4,13.4,11.8,10.7,9.1,7.9,7.1,6.2
Luxembourg,2.2,1.9,2.6,3.8,5,4.6,4.6,4.2,4.9,5.1,4.6,4.8,5.1,5.9,6,6.5,6.3,5.6,5.5
Hungary,6.3,5.6,5.6,5.8,6.1,7.2,7.5,7.4,7.8,10,11.2,11,11,10.2,7.7,6.8,5.1,4.2,3.7
Malta,6.7,7.6,7,7.6,7.2,6.9,6.8,6.5,6,6.9,6.8,6.4,6.2,6.1,5.7,5.4,4.7,4,3.7
Netherlands,3.7,3.1,3.7,4.8,5.7,5.9,5,4.2,3.7,4.4,5,5,5.8,7.3,7.4,6.9,6,4.9,3.8
Austria,3.9,4,4.4,4.8,5.5,5.6,5.3,4.9,4.1,5.3,4.8,4.6,4.9,5.4,5.6,5.7,6,5.5,4.9
Poland,16.1,18.3,20,19.8,19.1,17.9,13.9,9.6,7.1,8.1,9.7,9.7,10.1,10.3,9,7.5,6.2,4.9,3.9
Portugal,5.1,5.1,6.2,7.4,7.8,8.8,8.9,9.1,8.8,10.7,12,12.9,15.8,16.4,14.1,12.6,11.2,9,7
Romania,7.6,7.4,8.3,7.7,8,7.1,7.2,6.4,5.6,6.5,7,7.2,6.8,7.1,6.8,6.8,5.9,4.9,4.2
Slovenia,6.7,6.2,6.3,6.7,6.3,6.5,6,4.9,4.4,5.9,7.3,8.2,8.9,10.1,9.7,9,8,6.6,5.1
Slovakia,18.9,19.5,18.8,17.7,18.4,16.4,13.5,11.2,9.6,12.1,14.5,13.7,14,14.2,13.2,11.5,9.7,8.1,6.5
Finland,9.8,9.1,9.1,9,8.8,8.4,7.7,6.9,6.4,8.2,8.4,7.8,7.7,8.2,8.7,9.4,8.8,8.6,7.4
Sweden,5.6,5.8,6,6.6,7.4,7.7,7.1,6.1,6.2,8.3,8.6,7.8,8,8,7.9,7.4,6.9,6.7,6.3
United Kingdom,5.4,5,5.1,5,4.7,4.8,5.4,5.3,5.6,7.6,7.8,8.1,7.9,7.5,6.1,5.3,4.8,4.3,4
