country,2013
Belgium,9.2
Bulgaria,64.2
Czechia,25.4
Denmark,10.6
Germany,19.2
Estonia,34.4
Ireland,16.7
Greece,35.5
Spain,23.2
France,19.1
Croatia,35.4
Italy,22.7
Cyprus,37
Latvia,30.8
Lithuania,27.9
Luxembourg,14.8
Hungary,38.5
Malta,20.4
Netherlands,5.6
Austria,12.9
Poland,19.9
Portugal,40.5
Romania,16.7
Slovenia,24.4
Slovakia,26.4
Finland,6
Sweden,9
United Kingdom,19.1
